django.utils.autoreload INFO 2022-07-14 16:19:27,592 autoreload 25224 23544 Watching for file changes with StatReloader
django.server INFO 2022-07-14 16:19:31,108 basehttp 25224 16036 "GET /dashboard HTTP/1.1" 200 23361
django INFO 2022-07-14 16:34:17,194 views 25224 19304 INSIDE views of Contact us 
django INFO 2022-07-14 16:34:17,195 views 25224 19304 random num generated for captcha in contact us page
django ERROR 2022-07-14 16:34:17,195 views 25224 19304 context assigned values in contact us views..........
django.server INFO 2022-07-14 16:34:17,306 basehttp 25224 19304 "GET /contactus/ HTTP/1.1" 200 19129
django.server INFO 2022-07-14 16:34:17,359 basehttp 25224 19304 "GET /static/Localisation_App/css/faqs.css HTTP/1.1" 304 0
django.server INFO 2022-07-14 16:34:19,010 basehttp 25224 19304 "GET / HTTP/1.1" 200 30543
django.server INFO 2022-07-14 16:34:19,059 basehttp 25224 19304 "GET /media/Localisation_App/Images/AboutUs_L6STW41.png HTTP/1.1" 304 0
django.server INFO 2022-07-14 16:34:19,209 basehttp 25224 19304 "GET /media/Localisation_App/Images/Estimate_2T8OUxt.png HTTP/1.1" 304 0
django.server INFO 2022-07-14 16:34:20,534 basehttp 25224 19304 "GET /aboutus/ HTTP/1.1" 200 19675
django INFO 2022-07-14 16:34:22,033 views 25224 19304 INSIDE views of Contact us 
django INFO 2022-07-14 16:34:22,033 views 25224 19304 random num generated for captcha in contact us page
django ERROR 2022-07-14 16:34:22,034 views 25224 19304 context assigned values in contact us views..........
django.server INFO 2022-07-14 16:34:22,216 basehttp 25224 19304 "GET /contactus/ HTTP/1.1" 200 19129
django.utils.autoreload INFO 2022-07-14 16:34:52,802 autoreload 25240 5684 Watching for file changes with StatReloader
django.utils.autoreload DEBUG 2022-07-14 16:34:52,803 autoreload 25240 5684 Waiting for apps ready_event.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,056 autoreload 25240 5684 Apps ready_event triggered. Sending autoreload_started signal.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,091 autoreload 25240 5684 Watching dir C:\Users\91877\Documents\Localisation\Localisation-Project\Localisation_App\templates with glob **/*.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,091 autoreload 25240 5684 Watching dir C:\Users\91877\Envs\venv\lib\site-packages\colorfield\templates with glob **/*.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,091 autoreload 25240 5684 Watching dir C:\Users\91877\Documents\Localisation\Localisation-Project with glob **/*.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,092 autoreload 25240 5684 Watching dir C:\Users\91877\Documents\Localisation\Localisation-Project\templates with glob **/*.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,092 autoreload 25240 5684 Watching dir C:\Users\91877\Envs\venv\lib\site-packages\ckeditor\templates with glob **/*.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,092 autoreload 25240 5684 Watching dir C:\Users\91877\Envs\venv\lib\site-packages\admin_interface\templates with glob **/*.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,092 autoreload 25240 5684 Watching dir C:\Users\91877\Documents\Localisation\Localisation-Project\locale with glob **/*.mo.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,092 autoreload 25240 5684 Watching dir C:\Users\91877\Envs\venv\lib\site-packages\admin_interface\locale with glob **/*.mo.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,092 autoreload 25240 5684 Watching dir C:\Users\91877\Envs\venv\lib\site-packages\colorfield\locale with glob **/*.mo.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,092 autoreload 25240 5684 Watching dir C:\Users\91877\Documents\Localisation\Localisation-Project\Localisation_App\locale with glob **/*.mo.
django.utils.autoreload DEBUG 2022-07-14 16:34:53,092 autoreload 25240 5684 Watching dir C:\Users\91877\Envs\venv\lib\site-packages\ckeditor\locale with glob **/*.mo.
django.db.backends DEBUG 2022-07-14 16:34:53,238 utils 25240 13940 (0.000) 
                SELECT VERSION(),
